,State,Year,Quarter,Pincode,Registered_users
1800,Delhi,2019,3,110086,194575
1801,Delhi,2019,3,110085,180186
1802,Delhi,2019,3,110044,178410
1803,Delhi,2019,3,110096,164301
1804,Delhi,2019,3,110041,163228
1805,Delhi,2019,3,110001,148352
1806,Delhi,2019,3,110094,146798
1807,Delhi,2019,3,110043,144276
1808,Delhi,2019,4,110059,320535
1809,Delhi,2019,4,110092,264380
1810,Delhi,2019,4,110086,209488
1811,Delhi,2019,4,110044,192424
1812,Delhi,2019,4,110085,189774
1813,Delhi,2019,4,110041,177838
1814,Delhi,2019,4,110096,176194
1815,Delhi,2019,4,110094,161096
1816,Delhi,2019,4,110001,160180
1817,Delhi,2019,4,110053,156000
1818,Delhi,2020,1,110059,342152
1819,Delhi,2020,1,110092,280039
1820,Delhi,2020,1,110086,226703
1821,Delhi,2020,1,110044,207511
1822,Delhi,2020,1,110085,200098
1823,Delhi,2020,1,110041,194243
1824,Delhi,2020,1,110096,187975
1825,Delhi,2020,1,110094,175645
1826,Delhi,2020,1,110001,171087
1827,Delhi,2020,1,110053,170522
1828,Delhi,2020,2,110059,365614
1829,Delhi,2020,2,110092,295000
1830,Delhi,2020,2,110086,246312
1831,Delhi,2020,2,110044,223161
1832,Delhi,2020,2,110041,211987
1833,Delhi,2020,2,110085,211869
1834,Delhi,2020,2,110096,199631
1835,Delhi,2020,2,110094,192135
1836,Delhi,2020,2,110053,186853
1837,Delhi,2020,2,110042,186007
1838,Delhi,2020,3,110059,393571
1839,Delhi,2020,3,110092,314384
1840,Delhi,2020,3,110086,267186
1841,Delhi,2020,3,110044,240937
1842,Delhi,2020,3,110041,231602
1843,Delhi,2020,3,110085,225882
1844,Delhi,2020,3,110096,213595
1845,Delhi,2020,3,110094,210508
1846,Delhi,2020,3,110053,205752
1847,Delhi,2020,3,110042,202151
1848,Delhi,2020,4,110059,423149
1849,Delhi,2020,4,110092,335783
1850,Delhi,2020,4,110086,288308
1851,Delhi,2020,4,110044,259476
1852,Delhi,2020,4,110041,252304
1853,Delhi,2020,4,110085,241334
1854,Delhi,2020,4,110094,230259
1855,Delhi,2020,4,110096,228635
1856,Delhi,2020,4,110053,226890
1857,Delhi,2020,4,110042,219941
1858,Delhi,2021,1,110059,454201
1859,Delhi,2021,1,110092,359376
1860,Delhi,2021,1,110086,310419
1861,Delhi,2021,1,110044,278606
1862,Delhi,2021,1,110041,272303
1863,Delhi,2021,1,110085,257921
1864,Delhi,2021,1,110094,248570
1865,Delhi,2021,1,110053,245562
1866,Delhi,2021,1,110096,245046
1867,Delhi,2021,1,110042,237271
1868,Delhi,2021,2,110059,485328
1869,Delhi,2021,2,110092,383095
1870,Delhi,2021,2,110086,332618
1871,Delhi,2021,2,110044,297678
1872,Delhi,2021,2,110041,291909
1873,Delhi,2021,2,110085,275085
1874,Delhi,2021,2,110094,266143
1875,Delhi,2021,2,110053,262977
1876,Delhi,2021,2,110096,261791
1877,Delhi,2021,2,110042,254105
1878,Delhi,2021,3,110059,520096
1879,Delhi,2021,3,110092,409520
1880,Delhi,2021,3,110086,357590
1881,Delhi,2021,3,110044,319096
1882,Delhi,2021,3,110041,314015
1883,Delhi,2021,3,110085,293937
1884,Delhi,2021,3,110094,285714
1885,Delhi,2021,3,110053,282380
1886,Delhi,2021,3,110096,280334
1887,Delhi,2021,3,110042,273110
1888,Delhi,2021,4,110059,555449
1889,Delhi,2021,4,110092,436075
1890,Delhi,2021,4,110086,382858
1891,Delhi,2021,4,110044,340833
1892,Delhi,2021,4,110041,336405
1893,Delhi,2021,4,110085,312819
1894,Delhi,2021,4,110094,305422
1895,Delhi,2021,4,110053,301988
1896,Delhi,2021,4,110096,299233
1897,Delhi,2021,4,110042,292597
1898,Delhi,2022,1,110059,588266
1899,Delhi,2022,1,110092,460951
1900,Delhi,2022,1,110086,406863
1901,Delhi,2022,1,110044,361314
1902,Delhi,2022,1,110041,357509
1903,Delhi,2022,1,110085,330413
1904,Delhi,2022,1,110094,324145
1905,Delhi,2022,1,110053,320362
1906,Delhi,2022,1,110096,316906
1907,Delhi,2022,1,110042,310672
1908,Delhi,2022,2,110059,619737
1909,Delhi,2022,2,110092,484816
1910,Delhi,2022,2,110086,429566
1911,Delhi,2022,2,110044,381041
1912,Delhi,2022,2,110041,377721
1913,Delhi,2022,2,110085,347243
1914,Delhi,2022,2,110094,341936
1915,Delhi,2022,2,110053,337770
1916,Delhi,2022,2,110096,333973
1917,Delhi,2022,2,110042,328052
1918,Delhi,2022,3,110059,652328
1919,Delhi,2022,3,110092,509260
1920,Delhi,2022,3,110086,453393
1921,Delhi,2022,3,110044,401386
1922,Delhi,2022,3,110041,398712
1923,Delhi,2022,3,110085,364644
1924,Delhi,2022,3,110094,360554
1925,Delhi,2022,3,110053,356138
1926,Delhi,2022,3,110096,351480
1927,Delhi,2022,3,110042,346285
1928,Delhi,2022,4,110059,685596
1929,Delhi,2022,4,110092,534009
1930,Delhi,2022,4,110086,477514
1931,Delhi,2022,4,110044,422192
1932,Delhi,2022,4,110041,419823
1933,Delhi,2022,4,110085,382113
1934,Delhi,2022,4,110094,379346
1935,Delhi,2022,4,110053,374689
1936,Delhi,2022,4,110096,369272
1937,Delhi,2022,4,110042,364573
1938,Delhi,2023,1,110059,716856
1939,Delhi,2023,1,110092,557488
1940,Delhi,2023,1,110086,500213
1941,Delhi,2023,1,110044,441996
1942,Delhi,2023,1,110041,439789
1943,Delhi,2023,1,110085,398902
1944,Delhi,2023,1,110094,397220
1945,Delhi,2023,1,110053,392197
1946,Delhi,2023,1,110096,386108
1947,Delhi,2023,1,110042,381910
1948,Delhi,2023,2,110059,744061
1949,Delhi,2023,2,110092,577301
1950,Delhi,2023,2,110086,520976
1951,Delhi,2023,2,110044,459541
1952,Delhi,2023,2,110041,457756
1953,Delhi,2023,2,110094,413225
1954,Delhi,2023,2,110085,413127
1955,Delhi,2023,2,110053,407624
1956,Delhi,2023,2,110096,400907
1957,Delhi,2023,2,110042,397341
1958,Goa,2018,1,403516,6466
1959,Goa,2018,1,403601,5251
1960,Goa,2018,1,403001,5240
1961,Goa,2018,1,403401,5138
1962,Goa,2018,1,403802,3850
1963,Goa,2018,1,403722,3844
1964,Goa,2018,1,403507,3831
1965,Goa,2018,1,403521,2841
1966,Goa,2018,1,403515,2443
1967,Goa,2018,1,403509,2386
1968,Goa,2018,2,403516,8301
1969,Goa,2018,2,403001,7089
1970,Goa,2018,2,403601,6974
1971,Goa,2018,2,403401,6685
1972,Goa,2018,2,403722,5343
1973,Goa,2018,2,403802,5119
1974,Goa,2018,2,403507,4991
1975,Goa,2018,2,403521,3804
1976,Goa,2018,2,403515,3277
1977,Goa,2018,2,403509,3077
1978,Goa,2018,3,403516,9997
1979,Goa,2018,3,403001,8932
1980,Goa,2018,3,403601,8721
1981,Goa,2018,3,403401,8256
1982,Goa,2018,3,403722,7084
1983,Goa,2018,3,403802,6453
1984,Goa,2018,3,403507,6272
1985,Goa,2018,3,403521,4797
1986,Goa,2018,3,403515,4153
1987,Goa,2018,3,403801,3775
1988,Goa,2018,4,403516,12486
1989,Goa,2018,4,403001,11471
1990,Goa,2018,4,403601,10977
1991,Goa,2018,4,403401,10356
1992,Goa,2018,4,403722,9148
1993,Goa,2018,4,403802,8151
1994,Goa,2018,4,403507,7980
1995,Goa,2018,4,403521,6106
1996,Goa,2018,4,403515,5194
1997,Goa,2018,4,403509,4753
1998,Goa,2019,1,403516,15021
1999,Goa,2019,1,403001,14063
2000,Goa,2019,1,403601,13406
2001,Goa,2019,1,403401,12431
2002,Goa,2019,1,403722,11012
2003,Goa,2019,1,403802,9859
2004,Goa,2019,1,403507,9777
2005,Goa,2019,1,403521,7471
2006,Goa,2019,1,403515,6247
2007,Goa,2019,1,403512,5763
2008,Goa,2019,2,403516,17020
2009,Goa,2019,2,403001,16546
2010,Goa,2019,2,403601,15906
2011,Goa,2019,2,403401,14462
2012,Goa,2019,2,403722,12443
2013,Goa,2019,2,403802,11642
2014,Goa,2019,2,403507,11602
2015,Goa,2019,2,403521,8708
2016,Goa,2019,2,403515,7164
2017,Goa,2019,2,403512,6805
2018,Goa,2019,3,403516,19191
2019,Goa,2019,3,403001,18952
2020,Goa,2019,3,403601,18205
2021,Goa,2019,3,403401,16425
2022,Goa,2019,3,403722,13795
2023,Goa,2019,3,403507,13252
2024,Goa,2019,3,403802,13185
2025,Goa,2019,3,403521,10022
2026,Goa,2019,3,403515,8059
2027,Goa,2019,3,403512,7853
2028,Goa,2019,4,403516,21230
2029,Goa,2019,4,403001,20952
2030,Goa,2019,4,403601,20128
2031,Goa,2019,4,403401,18284
2032,Goa,2019,4,403722,15231
2033,Goa,2019,4,403507,14800
2034,Goa,2019,4,403802,14490
2035,Goa,2019,4,403521,11139
2036,Goa,2019,4,403515,8917
2037,Goa,2019,4,403512,8854
2038,Goa,2020,1,403516,23160
2039,Goa,2020,1,403001,22905
2040,Goa,2020,1,403601,22252
2041,Goa,2020,1,403401,20276
2042,Goa,2020,1,403722,16611
2043,Goa,2020,1,403507,16487
2044,Goa,2020,1,403802,16084
2045,Goa,2020,1,403521,12266
2046,Goa,2020,1,403512,9989
2047,Goa,2020,1,403515,9727
2048,Goa,2020,2,403001,24693
2049,Goa,2020,2,403601,24596
2050,Goa,2020,2,403516,24526
2051,Goa,2020,2,403401,22379
2052,Goa,2020,2,403507,18333
2053,Goa,2020,2,403722,17947
2054,Goa,2020,2,403802,17824
2055,Goa,2020,2,403521,13409
2056,Goa,2020,2,403512,11037
2057,Goa,2020,2,403515,10353
2058,Goa,2020,3,403601,27208
2059,Goa,2020,3,403001,26737
2060,Goa,2020,3,403516,26198
2061,Goa,2020,3,403401,24797
2062,Goa,2020,3,403507,20441
2063,Goa,2020,3,403802,19674
2064,Goa,2020,3,403722,19552
2065,Goa,2020,3,403521,14524
2066,Goa,2020,3,403512,12307
2067,Goa,2020,3,403515,11111
2068,Goa,2020,4,403601,30363
2069,Goa,2020,4,403001,29484
2070,Goa,2020,4,403516,28745
2071,Goa,2020,4,403401,27577
2072,Goa,2020,4,403507,22919
2073,Goa,2020,4,403802,21866
2074,Goa,2020,4,403722,21365
2075,Goa,2020,4,403521,16004
2076,Goa,2020,4,403512,13802
2077,Goa,2020,4,403515,12169
2078,Goa,2021,1,403601,32812
2079,Goa,2021,1,403001,31639
2080,Goa,2021,1,403516,31109
2081,Goa,2021,1,403401,29759
2082,Goa,2021,1,403507,24789
2083,Goa,2021,1,403802,23590
2084,Goa,2021,1,403722,23019
2085,Goa,2021,1,403521,17278
2086,Goa,2021,1,403512,15009
2087,Goa,2021,1,403515,13117
2088,Goa,2021,2,403601,35016
2089,Goa,2021,2,403001,33753
2090,Goa,2021,2,403516,33166
2091,Goa,2021,2,403401,31770
2092,Goa,2021,2,403507,26546
2093,Goa,2021,2,403802,25160
2094,Goa,2021,2,403722,24578
2095,Goa,2021,2,403521,18403
2096,Goa,2021,2,403512,16035
2097,Goa,2021,2,403515,13992
2098,Goa,2021,3,403601,37507
2099,Goa,2021,3,403001,36113
2100,Goa,2021,3,403516,35395
2101,Goa,2021,3,403401,34083
2102,Goa,2021,3,403507,28444
2103,Goa,2021,3,403802,26955
2104,Goa,2021,3,403722,26342
2105,Goa,2021,3,403521,19690
2106,Goa,2021,3,403512,17249
2107,Goa,2021,3,403515,14917
2108,Goa,2021,4,403601,39985
2109,Goa,2021,4,403001,38489
2110,Goa,2021,4,403516,37615
2111,Goa,2021,4,403401,36388
2112,Goa,2021,4,403507,30339
2113,Goa,2021,4,403802,28748
2114,Goa,2021,4,403722,28215
2115,Goa,2021,4,403521,20963
2116,Goa,2021,4,403512,18476
2117,Goa,2021,4,403515,15851
2118,Goa,2022,1,403601,42284
2119,Goa,2022,1,403001,40658
2120,Goa,2022,1,403516,39737
2121,Goa,2022,1,403401,38530
2122,Goa,2022,1,403507,32152
2123,Goa,2022,1,403802,30460
2124,Goa,2022,1,403722,29946
2125,Goa,2022,1,403521,22153
2126,Goa,2022,1,403512,19621
2127,Goa,2022,1,403515,16746
2128,Goa,2022,2,403601,44524
2129,Goa,2022,2,403001,42745
2130,Goa,2022,2,403516,41711
2131,Goa,2022,2,403401,40592
2132,Goa,2022,2,403507,33849
2133,Goa,2022,2,403802,32057
2134,Goa,2022,2,403722,31588
2135,Goa,2022,2,403521,23291
2136,Goa,2022,2,403512,20688
2137,Goa,2022,2,403515,17575
2138,Goa,2022,3,403601,46781
2139,Goa,2022,3,403001,44871
2140,Goa,2022,3,403516,43715
2141,Goa,2022,3,403401,42722
2142,Goa,2022,3,403507,35584
2143,Goa,2022,3,403802,33724
2144,Goa,2022,3,403722,33341
2145,Goa,2022,3,403521,24473
2146,Goa,2022,3,403512,21788
2147,Goa,2022,3,403515,18401
2148,Goa,2022,4,403601,49007
2149,Goa,2022,4,403001,46997
2150,Goa,2022,4,403516,45745
2151,Goa,2022,4,403401,44729
2152,Goa,2022,4,403507,37261
2153,Goa,2022,4,403802,35405
2154,Goa,2022,4,403722,35057
2155,Goa,2022,4,403521,25628
2156,Goa,2022,4,403512,22733
2157,Goa,2022,4,403515,19246
2158,Goa,2023,1,403601,51090
2159,Goa,2023,1,403001,49009
2160,Goa,2023,1,403516,47604
2161,Goa,2023,1,403401,46716
2162,Goa,2023,1,403507,38878
2163,Goa,2023,1,403802,36991
2164,Goa,2023,1,403722,36725
2165,Goa,2023,1,403521,26694
2166,Goa,2023,1,403512,23734
2167,Goa,2023,1,403515,20070
2168,Goa,2023,2,403601,52926
2169,Goa,2023,2,403001,50691
2170,Goa,2023,2,403516,49202
2171,Goa,2023,2,403401,48492
2172,Goa,2023,2,403507,40331
2173,Goa,2023,2,403802,38360
2174,Goa,2023,2,403722,38166
2175,Goa,2023,2,403521,27648
2176,Goa,2023,2,403512,24698
2177,Goa,2023,2,403515,20746
2178,Gujarat,2018,1,395006,72275
2179,Gujarat,2018,1,395010,45734
2180,Gujarat,2018,1,395004,37825
2181,Gujarat,2018,1,382350,32292
2182,Gujarat,2018,1,394210,31969
2183,Gujarat,2018,1,395003,30787
2184,Gujarat,2018,1,382481,25321
2185,Gujarat,2018,1,395009,23628
2186,Gujarat,2018,1,396191,22824
2187,Gujarat,2018,1,382415,22742
2188,Gujarat,2018,2,395006,94500
2189,Gujarat,2018,2,395010,60175
2190,Gujarat,2018,2,395004,49139
2191,Gujarat,2018,2,394210,44190
2192,Gujarat,2018,2,382350,41644
2193,Gujarat,2018,2,395003,40881
2194,Gujarat,2018,2,382481,32292
2195,Gujarat,2018,2,396191,30464
2196,Gujarat,2018,2,395009,30378
2197,Gujarat,2018,2,382415,29895
2198,Gujarat,2018,3,395006,113391
2199,Gujarat,2018,3,395010,73560
2200,Gujarat,2018,3,395004,58525
2201,Gujarat,2018,3,394210,56563
2202,Gujarat,2018,3,395003,50366
2203,Gujarat,2018,3,382350,49974
2204,Gujarat,2018,3,396191,38490
2205,Gujarat,2018,3,382481,38313
2206,Gujarat,2018,3,395009,36563
2207,Gujarat,2018,3,382415,36510
2208,Gujarat,2018,4,395006,135881
2209,Gujarat,2018,4,395010,89595
2210,Gujarat,2018,4,394210,71909
2211,Gujarat,2018,4,395004,69666
2212,Gujarat,2018,4,382350,62863
2213,Gujarat,2018,4,395003,62164
2214,Gujarat,2018,4,382481,50895
2215,Gujarat,2018,4,396191,48467
2216,Gujarat,2018,4,382415,46926
2217,Gujarat,2018,4,395009,44962
2218,Gujarat,2019,1,395006,157558
2219,Gujarat,2019,1,395010,104683
2220,Gujarat,2019,1,394210,86656
2221,Gujarat,2019,1,395004,79826
2222,Gujarat,2019,1,382350,74106
2223,Gujarat,2019,1,395003,73240
2224,Gujarat,2019,1,382481,60080
2225,Gujarat,2019,1,396191,58289
2226,Gujarat,2019,1,382415,56346
2227,Gujarat,2019,1,382345,53663
2228,Gujarat,2019,2,395006,180042
2229,Gujarat,2019,2,395010,117410
2230,Gujarat,2019,2,394210,99259
2231,Gujarat,2019,2,395004,88490
2232,Gujarat,2019,2,382350,83582
2233,Gujarat,2019,2,395003,82557
2234,Gujarat,2019,2,382481,67372
2235,Gujarat,2019,2,396191,66034
2236,Gujarat,2019,2,382415,64402
2237,Gujarat,2019,2,382345,61531
2238,Gujarat,2019,3,395006,198132
2239,Gujarat,2019,3,395010,128538
2240,Gujarat,2019,3,394210,111163
2241,Gujarat,2019,3,395004,95896
2242,Gujarat,2019,3,382350,92274
2243,Gujarat,2019,3,395003,90925
2244,Gujarat,2019,3,382481,73913
2245,Gujarat,2019,3,396191,73506
2246,Gujarat,2019,3,382415,72158
2247,Gujarat,2019,3,382345,68940
2248,Gujarat,2019,4,395006,214322
2249,Gujarat,2019,4,395010,138999
2250,Gujarat,2019,4,394210,123670
2251,Gujarat,2019,4,395004,103138
2252,Gujarat,2019,4,382350,99646
2253,Gujarat,2019,4,395003,98804
2254,Gujarat,2019,4,396191,81666
2255,Gujarat,2019,4,382481,79158
2256,Gujarat,2019,4,382415,78997
2257,Gujarat,2019,4,382345,75408
2258,Gujarat,2020,1,395006,230047
2259,Gujarat,2020,1,395010,149506
2260,Gujarat,2020,1,394210,137283
2261,Gujarat,2020,1,395004,110684
2262,Gujarat,2020,1,395003,106915
2263,Gujarat,2020,1,382350,106647
2264,Gujarat,2020,1,396191,90365
2265,Gujarat,2020,1,382415,86315
2266,Gujarat,2020,1,382481,84353
2267,Gujarat,2020,1,382345,82048
2268,Gujarat,2020,2,395006,245129
2269,Gujarat,2020,2,395010,160784
2270,Gujarat,2020,2,394210,153681
2271,Gujarat,2020,2,395004,119752
2272,Gujarat,2020,2,395003,115539
2273,Gujarat,2020,2,382350,115202
2274,Gujarat,2020,2,396191,100064
2275,Gujarat,2020,2,382415,95250
2276,Gujarat,2020,2,382481,90515
2277,Gujarat,2020,2,382345,90259
2278,Gujarat,2020,3,395006,259468
2279,Gujarat,2020,3,395010,173062
2280,Gujarat,2020,3,394210,167802
2281,Gujarat,2020,3,395004,127956
2282,Gujarat,2020,3,395003,124692
2283,Gujarat,2020,3,382350,123709
2284,Gujarat,2020,3,396191,109788
2285,Gujarat,2020,3,382415,103846
2286,Gujarat,2020,3,382345,98070
2287,Gujarat,2020,3,382481,96759
2288,Gujarat,2020,4,395006,276969
2289,Gujarat,2020,4,395010,187103
2290,Gujarat,2020,4,394210,184572
2291,Gujarat,2020,4,395004,137335
2292,Gujarat,2020,4,395003,135529
2293,Gujarat,2020,4,382350,133012
2294,Gujarat,2020,4,396191,121067
2295,Gujarat,2020,4,382415,112726
2296,Gujarat,2020,4,382345,105910
2297,Gujarat,2020,4,382481,103359
2298,Gujarat,2021,1,395006,297048
2299,Gujarat,2021,1,395010,201470
2300,Gujarat,2021,1,394210,200058
2301,Gujarat,2021,1,395004,147473
2302,Gujarat,2021,1,395003,145856
2303,Gujarat,2021,1,382350,142849
2304,Gujarat,2021,1,396191,130996
2305,Gujarat,2021,1,382415,121750
2306,Gujarat,2021,1,382345,113956
2307,Gujarat,2021,1,385535,110989
2308,Gujarat,2021,2,395006,317597
2309,Gujarat,2021,2,395010,215717
2310,Gujarat,2021,2,394210,214776
2311,Gujarat,2021,2,395004,157608
2312,Gujarat,2021,2,395003,156006
2313,Gujarat,2021,2,382350,152795
2314,Gujarat,2021,2,396191,140329
2315,Gujarat,2021,2,382415,130437
2316,Gujarat,2021,2,382345,121975
2317,Gujarat,2021,2,385535,119329
2318,Gujarat,2021,3,395006,340436
2319,Gujarat,2021,3,395010,231725
2320,Gujarat,2021,3,394210,231353
2321,Gujarat,2021,3,395004,168968
2322,Gujarat,2021,3,395003,167307
2323,Gujarat,2021,3,382350,163762
2324,Gujarat,2021,3,396191,150868
2325,Gujarat,2021,3,382415,140098
2326,Gujarat,2021,3,382345,130967
2327,Gujarat,2021,3,385535,128886
2328,Gujarat,2021,4,395006,363595
2329,Gujarat,2021,4,394210,247983
2330,Gujarat,2021,4,395010,247597
2331,Gujarat,2021,4,395004,180294
2332,Gujarat,2021,4,395003,178606
2333,Gujarat,2021,4,382350,174821
2334,Gujarat,2021,4,396191,161460
2335,Gujarat,2021,4,382415,149751
2336,Gujarat,2021,4,382345,139819
2337,Gujarat,2021,4,385535,138286
2338,Gujarat,2022,1,395006,385040
2339,Gujarat,2022,1,394210,263596
2340,Gujarat,2022,1,395010,262287
2341,Gujarat,2022,1,395004,190769
2342,Gujarat,2022,1,395003,189101
2343,Gujarat,2022,1,382350,185001
2344,Gujarat,2022,1,396191,171443
2345,Gujarat,2022,1,382415,158818
2346,Gujarat,2022,1,382345,148068
2347,Gujarat,2022,1,385535,147477
2348,Gujarat,2022,2,395006,405477
2349,Gujarat,2022,2,394210,278453
2350,Gujarat,2022,2,395010,276339
2351,Gujarat,2022,2,395004,200828
2352,Gujarat,2022,2,395003,199079
2353,Gujarat,2022,2,382350,194725
2354,Gujarat,2022,2,396191,180851
2355,Gujarat,2022,2,382415,167419
2356,Gujarat,2022,2,385535,156144
2357,Gujarat,2022,2,382345,155908
2358,Gujarat,2022,3,395006,426968
2359,Gujarat,2022,3,394210,294155
2360,Gujarat,2022,3,395010,290935
2361,Gujarat,2022,3,395004,211361
2362,Gujarat,2022,3,395003,209495
2363,Gujarat,2022,3,382350,204832
2364,Gujarat,2022,3,396191,190805
2365,Gujarat,2022,3,382415,176390
2366,Gujarat,2022,3,385535,164910
2367,Gujarat,2022,3,382345,164109
2368,Gujarat,2022,4,395006,448463
2369,Gujarat,2022,4,394210,309875
2370,Gujarat,2022,4,395010,305674
2371,Gujarat,2022,4,395004,221859
2372,Gujarat,2022,4,395003,219947
2373,Gujarat,2022,4,382350,214911
2374,Gujarat,2022,4,396191,200547
2375,Gujarat,2022,4,382415,185450
2376,Gujarat,2022,4,385535,173196
2377,Gujarat,2022,4,382345,172424
2378,Gujarat,2023,1,395006,468935
2379,Gujarat,2023,1,394210,324796
2380,Gujarat,2023,1,395010,319666
2381,Gujarat,2023,1,395004,231760
2382,Gujarat,2023,1,395003,229820
2383,Gujarat,2023,1,382350,224592
2384,Gujarat,2023,1,396191,209998
2385,Gujarat,2023,1,382415,193969
2386,Gujarat,2023,1,385535,181611
2387,Gujarat,2023,1,382345,180196
2388,Gujarat,2023,2,395006,487460
2389,Gujarat,2023,2,394210,338493
2390,Gujarat,2023,2,395010,332086
2391,Gujarat,2023,2,395004,240529
2392,Gujarat,2023,2,395003,238544
2393,Gujarat,2023,2,382350,232887
2394,Gujarat,2023,2,396191,218210
2395,Gujarat,2023,2,382415,201581
2396,Gujarat,2023,2,385535,189519
2397,Gujarat,2023,2,382345,187051
2398,Haryana,2018,1,122001,82656
2399,Haryana,2018,1,121004,52178
2400,Haryana,2018,1,121003,48088
2401,Haryana,2018,1,122002,42709
2402,Haryana,2018,1,122006,42454
2403,Haryana,2018,1,121001,42239
2404,Haryana,2018,1,124001,36966
2405,Haryana,2018,1,123401,34462
2406,Haryana,2018,1,122051,33437
2407,Haryana,2018,1,132001,31575
2408,Haryana,2018,2,122001,107275
2409,Haryana,2018,2,121004,69412
2410,Haryana,2018,2,121003,63458
2411,Haryana,2018,2,121001,56154
2412,Haryana,2018,2,122002,55528
2413,Haryana,2018,2,122006,54489
2414,Haryana,2018,2,124001,48721
2415,Haryana,2018,2,123401,44946
2416,Haryana,2018,2,122051,44764
2417,Haryana,2018,2,132001,41673
2418,Haryana,2018,3,122001,130847
2419,Haryana,2018,3,121004,86428
2420,Haryana,2018,3,121003,78699
2421,Haryana,2018,3,121001,71428
2422,Haryana,2018,3,122002,68873
2423,Haryana,2018,3,122006,67331
2424,Haryana,2018,3,124001,59016
2425,Haryana,2018,3,123401,54477
2426,Haryana,2018,3,122051,54363
2427,Haryana,2018,3,132001,50845
2428,Haryana,2018,4,122001,163556
2429,Haryana,2018,4,121004,117034
2430,Haryana,2018,4,121003,103920
2431,Haryana,2018,4,121001,101287
2432,Haryana,2018,4,122002,86547
2433,Haryana,2018,4,122006,85334
2434,Haryana,2018,4,124001,71218
2435,Haryana,2018,4,122051,67543
2436,Haryana,2018,4,123401,67235
2437,Haryana,2018,4,122004,64480
2438,Haryana,2019,1,122001,194366
2439,Haryana,2019,1,121004,144318
2440,Haryana,2019,1,121003,125626
2441,Haryana,2019,1,121001,122040
2442,Haryana,2019,1,122002,102287
2443,Haryana,2019,1,122006,101815
2444,Haryana,2019,1,124001,83228
2445,Haryana,2019,1,122051,81253
2446,Haryana,2019,1,121102,80409
2447,Haryana,2019,1,123401,80255
2448,Haryana,2019,2,122001,217913
2449,Haryana,2019,2,121004,164350
2450,Haryana,2019,2,121003,141046
2451,Haryana,2019,2,121001,138083
2452,Haryana,2019,2,122002,115060
2453,Haryana,2019,2,122006,114395
2454,Haryana,2019,2,124001,94885
2455,Haryana,2019,2,121102,93648
2456,Haryana,2019,2,123401,92297
2457,Haryana,2019,2,122051,90453
2458,Haryana,2019,3,122001,239679
2459,Haryana,2019,3,121004,182786
2460,Haryana,2019,3,121003,155581
2461,Haryana,2019,3,121001,152399
2462,Haryana,2019,3,122002,126886
2463,Haryana,2019,3,122006,126740
2464,Haryana,2019,3,121102,106171
2465,Haryana,2019,3,124001,105974
2466,Haryana,2019,3,123401,103749
2467,Haryana,2019,3,122004,99827
2468,Haryana,2019,4,122001,258880
2469,Haryana,2019,4,121004,201072
2470,Haryana,2019,4,121003,169105
2471,Haryana,2019,4,121001,164555
2472,Haryana,2019,4,122006,137295
2473,Haryana,2019,4,122002,136781
2474,Haryana,2019,4,121102,117172
2475,Haryana,2019,4,124001,115727
2476,Haryana,2019,4,123401,113575
2477,Haryana,2019,4,122004,109845
2478,Haryana,2020,1,122001,277400
2479,Haryana,2020,1,121004,220431
2480,Haryana,2020,1,121003,183564
2481,Haryana,2020,1,121001,177159
2482,Haryana,2020,1,122006,147672
2483,Haryana,2020,1,122002,146453
2484,Haryana,2020,1,121102,129418
2485,Haryana,2020,1,124001,126121
2486,Haryana,2020,1,123401,124071
2487,Haryana,2020,1,122004,120068
2488,Haryana,2020,2,122001,293479
2489,Haryana,2020,2,121004,239658
2490,Haryana,2020,2,121003,198248
2491,Haryana,2020,2,121001,190142
2492,Haryana,2020,2,122006,157703
2493,Haryana,2020,2,122002,154797
2494,Haryana,2020,2,121102,142490
2495,Haryana,2020,2,124001,136592
2496,Haryana,2020,2,123401,135535
2497,Haryana,2020,2,122004,127957
2498,Haryana,2020,3,122001,314031
2499,Haryana,2020,3,121004,261230
2500,Haryana,2020,3,121003,214022
2501,Haryana,2020,3,121001,205343
2502,Haryana,2020,3,122006,170596
2503,Haryana,2020,3,122002,165039
2504,Haryana,2020,3,121102,155722
2505,Haryana,2020,3,124001,149067
2506,Haryana,2020,3,123401,148188
2507,Haryana,2020,3,122004,138271
2508,Haryana,2020,4,122001,336803
2509,Haryana,2020,4,121004,283882
2510,Haryana,2020,4,121003,230786
2511,Haryana,2020,4,121001,221002
2512,Haryana,2020,4,122006,184356
2513,Haryana,2020,4,122002,176881
2514,Haryana,2020,4,121102,169232
2515,Haryana,2020,4,124001,161912
2516,Haryana,2020,4,123401,160526
2517,Haryana,2020,4,122004,150225
2518,Haryana,2021,1,122001,361360
2519,Haryana,2021,1,121004,306230
2520,Haryana,2021,1,121003,247955
2521,Haryana,2021,1,121001,237542
2522,Haryana,2021,1,122006,198022
2523,Haryana,2021,1,122002,189395
2524,Haryana,2021,1,121102,182342
2525,Haryana,2021,1,124001,173733
2526,Haryana,2021,1,123401,172665
2527,Haryana,2021,1,122004,162301
2528,Haryana,2021,2,122001,385555
2529,Haryana,2021,2,121004,328000
2530,Haryana,2021,2,121003,264861
2531,Haryana,2021,2,121001,254045
2532,Haryana,2021,2,122006,211281
2533,Haryana,2021,2,122002,201795
2534,Haryana,2021,2,121102,195621
