,State,Year,Quarter,Pincode,Registered_users
195,Andaman & Nicobar Island,2022,4,744107,4051
196,Andaman & Nicobar Island,2022,4,744104,3647
197,Andaman & Nicobar Island,2022,4,744112,2975
198,Andaman & Nicobar Island,2022,4,744211,2679
199,Andaman & Nicobar Island,2022,4,744205,2358
200,Andaman & Nicobar Island,2023,1,744103,18209
201,Andaman & Nicobar Island,2023,1,744105,15848
202,Andaman & Nicobar Island,2023,1,744101,15006
203,Andaman & Nicobar Island,2023,1,744102,10033
204,Andaman & Nicobar Island,2023,1,744202,4993
205,Andaman & Nicobar Island,2023,1,744107,4239
206,Andaman & Nicobar Island,2023,1,744104,3795
207,Andaman & Nicobar Island,2023,1,744112,3141
208,Andaman & Nicobar Island,2023,1,744211,2792
209,Andaman & Nicobar Island,2023,1,744205,2480
210,Andaman & Nicobar Island,2023,2,744103,18944
211,Andaman & Nicobar Island,2023,2,744105,16488
212,Andaman & Nicobar Island,2023,2,744101,15562
213,Andaman & Nicobar Island,2023,2,744102,10387
214,Andaman & Nicobar Island,2023,2,744202,5239
215,Andaman & Nicobar Island,2023,2,744107,4425
216,Andaman & Nicobar Island,2023,2,744104,3937
217,Andaman & Nicobar Island,2023,2,744112,3261
218,Andaman & Nicobar Island,2023,2,744211,2917
219,Andaman & Nicobar Island,2023,2,744205,2605
220,Andhra Pradesh,2018,1,517501,39884
221,Andhra Pradesh,2018,1,530016,34201
222,Andhra Pradesh,2018,1,517507,34111
223,Andhra Pradesh,2018,1,515001,31964
224,Andhra Pradesh,2018,1,516001,29078
225,Andhra Pradesh,2018,1,518002,29043
226,Andhra Pradesh,2018,1,530026,26889
227,Andhra Pradesh,2018,1,516360,26187
228,Andhra Pradesh,2018,1,520010,24397
229,Andhra Pradesh,2018,1,524002,23439
230,Andhra Pradesh,2018,2,517501,53468
231,Andhra Pradesh,2018,2,517507,45241
232,Andhra Pradesh,2018,2,530016,43386
233,Andhra Pradesh,2018,2,515001,42466
234,Andhra Pradesh,2018,2,516001,38402
235,Andhra Pradesh,2018,2,518002,37593
236,Andhra Pradesh,2018,2,516360,34544
237,Andhra Pradesh,2018,2,530026,34126
238,Andhra Pradesh,2018,2,520010,31871
239,Andhra Pradesh,2018,2,524002,31134
240,Andhra Pradesh,2018,3,517501,65157
241,Andhra Pradesh,2018,3,517507,54849
242,Andhra Pradesh,2018,3,530016,52259
243,Andhra Pradesh,2018,3,515001,51449
244,Andhra Pradesh,2018,3,516001,46691
245,Andhra Pradesh,2018,3,518002,45145
246,Andhra Pradesh,2018,3,516360,41963
247,Andhra Pradesh,2018,3,530026,40580
248,Andhra Pradesh,2018,3,520010,38918
249,Andhra Pradesh,2018,3,524002,37559
250,Andhra Pradesh,2018,4,517501,82873
251,Andhra Pradesh,2018,4,517507,70421
252,Andhra Pradesh,2018,4,530016,65549
253,Andhra Pradesh,2018,4,515001,63576
254,Andhra Pradesh,2018,4,516001,58028
255,Andhra Pradesh,2018,4,518002,55735
256,Andhra Pradesh,2018,4,516360,52058
257,Andhra Pradesh,2018,4,530026,51900
258,Andhra Pradesh,2018,4,520010,48991
259,Andhra Pradesh,2018,4,524002,46616
260,Andhra Pradesh,2019,1,517501,100561
261,Andhra Pradesh,2019,1,517507,85980
262,Andhra Pradesh,2019,1,530016,77790
263,Andhra Pradesh,2019,1,515001,75171
264,Andhra Pradesh,2019,1,516001,68514
265,Andhra Pradesh,2019,1,518002,66689
266,Andhra Pradesh,2019,1,530026,61623
267,Andhra Pradesh,2019,1,516360,60798
268,Andhra Pradesh,2019,1,520010,59055
269,Andhra Pradesh,2019,1,524002,55931
270,Andhra Pradesh,2019,2,517501,113033
271,Andhra Pradesh,2019,2,517507,97534
272,Andhra Pradesh,2019,2,530016,87556
273,Andhra Pradesh,2019,2,515001,84157
274,Andhra Pradesh,2019,2,516001,76617
275,Andhra Pradesh,2019,2,518002,75952
276,Andhra Pradesh,2019,2,530026,68283
277,Andhra Pradesh,2019,2,516360,66885
278,Andhra Pradesh,2019,2,520010,66082
279,Andhra Pradesh,2019,2,524002,62933
280,Andhra Pradesh,2019,3,517501,124727
281,Andhra Pradesh,2019,3,517507,108199
282,Andhra Pradesh,2019,3,530016,97323
283,Andhra Pradesh,2019,3,515001,93191
284,Andhra Pradesh,2019,3,518002,84918
