,State,Year,Quarter,District,Count,Amount
3429,Gujarat,2018,1,jamnagar district,121341,166162325.33642912
3430,Gujarat,2018,1,devbhumi dwarka district,30538,38615229.59304487
3431,Gujarat,2018,1,rajkot district,219190,296803513.7880937
3432,Gujarat,2018,1,aravallis district,55016,41323327.901426904
3433,Gujarat,2018,1,chhotaudepur district,12962,13597431.644077772
3434,Gujarat,2018,1,botad district,50541,30496629.095891375
3435,Gujarat,2018,1,bharuch district,210073,249246117.13529772
3436,Gujarat,2018,1,bhavnagar district,182948,171495425.58982483
3437,Gujarat,2018,1,junagadh district,56897,69940293.0266568
3438,Gujarat,2018,1,mahesana district,227748,213031001.6165129
3439,Gujarat,2018,1,the dangs district,5441,4783138.826001479
3440,Gujarat,2018,1,kheda district,104154,94652160.87215446
3441,Gujarat,2018,1,surat district,983723,1346833710.5223997
3442,Gujarat,2018,1,porbandar district,16381,28254689.482644804
3443,Gujarat,2018,1,gandhinagar district,237393,318002413.6906459
3444,Gujarat,2018,1,panch mahals district,86317,65556534.78851059
3445,Gujarat,2018,1,narmada district,13920,15120948.428387363
3446,Gujarat,2018,1,gir somnath district,49292,50970540.98586127
3447,Gujarat,2018,1,valsad district,168659,191337866.46684927
3448,Gujarat,2018,1,mahisagar district,25888,24228879.819740117
3449,Gujarat,2018,1,sabar kantha district,105266,88114407.80209638
3450,Gujarat,2018,1,tapi district,29217,30555640.68796905
3451,Gujarat,2018,1,vadodara district,387998,604645570.2100984
3452,Gujarat,2018,1,banas kantha district,237457,197883270.2126429
3453,Gujarat,2018,1,amreli district,66032,75032118.59542929
3454,Gujarat,2018,1,ahmadabad district,1436152,2153123692.1028624
3455,Gujarat,2018,1,dohad district,39278,45587112.10032356
3456,Gujarat,2018,1,navsari district,159975,229707588.71710333
3457,Gujarat,2018,1,patan district,105705,81974812.41577709
3458,Gujarat,2018,1,kachchh district,217912,316933354.7930958
3459,Gujarat,2018,1,surendranagar district,80486,71735564.99080022
3460,Gujarat,2018,1,morbi district,58217,70378385.89627899
3461,Gujarat,2018,2,anand district,200941,276029311.7785317
3462,Gujarat,2018,2,jamnagar district,157949,254032915.575365
3463,Gujarat,2018,2,devbhumi dwarka district,39911,60261359.43473798
3464,Gujarat,2018,2,rajkot district,283913,465751106.6448111
3465,Gujarat,2018,2,aravallis district,68943,79068918.37969582
3466,Gujarat,2018,2,chhotaudepur district,18298,23911236.19560639
3467,Gujarat,2018,2,botad district,73201,50785993.514899634
3468,Gujarat,2018,2,bharuch district,289862,428830769.63445514
3469,Gujarat,2018,2,bhavnagar district,253332,265850891.74358374
3470,Gujarat,2018,2,junagadh district,71257,100127668.88866127
3471,Gujarat,2018,2,mahesana district,286014,362586915.57954156
3472,Gujarat,2018,2,the dangs district,7935,8648152.66921072
3473,Gujarat,2018,2,kheda district,140355,159527232.77717692
3474,Gujarat,2018,2,surat district,1310963,2189526110.381512
3475,Gujarat,2018,2,porbandar district,23157,41711067.45966727
3476,Gujarat,2018,2,gandhinagar district,315542,522133969.7111994
3477,Gujarat,2018,2,panch mahals district,98663,109582248.60360782
3478,Gujarat,2018,2,narmada district,22076,27318715.13639736
3479,Gujarat,2018,2,gir somnath district,62910,88369182.13478208
3480,Gujarat,2018,2,valsad district,233931,330877194.1001264
3481,Gujarat,2018,2,mahisagar district,36682,51572265.8950537
3482,Gujarat,2018,2,sabar kantha district,129122,166288136.40124303
3483,Gujarat,2018,2,tapi district,40069,49495860.353384465
3484,Gujarat,2018,2,vadodara district,528893,975136493.2075567
3485,Gujarat,2018,2,banas kantha district,307928,362168353.1498716
3486,Gujarat,2018,2,amreli district,82377,115377054.70731172
3487,Gujarat,2018,2,ahmadabad district,1809774,3307127930.439745
3488,Gujarat,2018,2,dohad district,47285,75876261.77400178
3489,Gujarat,2018,2,navsari district,200818,335776476.8000446
3490,Gujarat,2018,2,patan district,135797,146904618.1339515
3491,Gujarat,2018,2,kachchh district,287874,494142161.98879945
3492,Gujarat,2018,2,surendranagar district,102043,123903699.15787673
3493,Gujarat,2018,2,morbi district,77918,113984499.28873283
3494,Gujarat,2018,3,anand district,323633,429055975.57140917
3495,Gujarat,2018,3,jamnagar district,205815,332432425.1878123
3496,Gujarat,2018,3,devbhumi dwarka district,52981,93593822.44966702
3497,Gujarat,2018,3,rajkot district,402342,650585707.9949487
3498,Gujarat,2018,3,aravallis district,104593,116101548.31975947
3499,Gujarat,2018,3,chhotaudepur district,24361,36129430.11672479
3500,Gujarat,2018,3,botad district,144375,102025353.5677173
3501,Gujarat,2018,3,bharuch district,480222,695864170.869137
3502,Gujarat,2018,3,bhavnagar district,374470,397576856.46584713
3503,Gujarat,2018,3,junagadh district,81925,122475986.0396744
3504,Gujarat,2018,3,mahesana district,464894,561504997.461841
3505,Gujarat,2018,3,the dangs district,10218,9424631.491985487
3506,Gujarat,2018,3,kheda district,206410,246457729.21617603
3507,Gujarat,2018,3,surat district,1899586,3203734473.971199
3508,Gujarat,2018,3,porbandar district,30518,57638931.54277685
3509,Gujarat,2018,3,gandhinagar district,479518,791502891.3922588
3510,Gujarat,2018,3,panch mahals district,126887,163521220.9212614
3511,Gujarat,2018,3,narmada district,30132,40376011.08215976
3512,Gujarat,2018,3,gir somnath district,122507,129249889.99994646
3513,Gujarat,2018,3,valsad district,342131,511548024.0492444
3514,Gujarat,2018,3,mahisagar district,36935,54644809.422828116
3515,Gujarat,2018,3,sabar kantha district,159109,231377990.30344963
3516,Gujarat,2018,3,tapi district,47427,65631763.76663714
3517,Gujarat,2018,3,vadodara district,773456,1452835059.4761379
3518,Gujarat,2018,3,banas kantha district,396566,532922632.75609964
3519,Gujarat,2018,3,amreli district,123454,174828237.91726425
3520,Gujarat,2018,3,ahmadabad district,2600288,4740981792.133425
3521,Gujarat,2018,3,dohad district,88911,111486621.62173408
3522,Gujarat,2018,3,navsari district,264465,444074057.64377546
3523,Gujarat,2018,3,patan district,274613,262983521.00512958
3524,Gujarat,2018,3,kachchh district,421411,764023467.8126487
3525,Gujarat,2018,3,surendranagar district,126809,167911866.77367234
3526,Gujarat,2018,3,morbi district,113187,171902527.9310693
3527,Gujarat,2018,4,anand district,409783,621490811.2507999
3528,Gujarat,2018,4,jamnagar district,254856,456876624.34410954
3529,Gujarat,2018,4,devbhumi dwarka district,69269,130226108.73706305
3530,Gujarat,2018,4,rajkot district,472933,879868564.9668198
3531,Gujarat,2018,4,aravallis district,113023,167858449.1970446
3532,Gujarat,2018,4,chhotaudepur district,39167,58265012.87716615
3533,Gujarat,2018,4,botad district,116616,118512861.02892525
3534,Gujarat,2018,4,bharuch district,603122,1036812125.2621627
3535,Gujarat,2018,4,bhavnagar district,439954,575505679.8186091
3536,Gujarat,2018,4,junagadh district,112596,187291563.97802573
3537,Gujarat,2018,4,mahesana district,529470,758586454.1320899
3538,Gujarat,2018,4,the dangs district,13830,15606240.627526935
3539,Gujarat,2018,4,kheda district,249181,339198462.57013136
3540,Gujarat,2018,4,surat district,2225031,4270243993.924238
3541,Gujarat,2018,4,porbandar district,37241,81446556.1063475
3542,Gujarat,2018,4,gandhinagar district,693588,1143266870.1325016
3543,Gujarat,2018,4,panch mahals district,171008,242488493.74769223
3544,Gujarat,2018,4,narmada district,45497,67996133.59784442
3545,Gujarat,2018,4,gir somnath district,111341,188801796.29554066
3546,Gujarat,2018,4,valsad district,468363,753128666.5596428
3547,Gujarat,2018,4,mahisagar district,54204,97344184.68192157
3548,Gujarat,2018,4,sabar kantha district,221346,324435340.69529986
3549,Gujarat,2018,4,tapi district,67133,101456950.93813746
3550,Gujarat,2018,4,vadodara district,1047381,2063816597.5452976
3551,Gujarat,2018,4,banas kantha district,529655,758278914.52389
3552,Gujarat,2018,4,amreli district,158887,264690195.61403865
3553,Gujarat,2018,4,ahmadabad district,3990090,6515656157.237562
3554,Gujarat,2018,4,dohad district,81195,153961246.76764563
3555,Gujarat,2018,4,navsari district,325071,581253728.2501203
3556,Gujarat,2018,4,patan district,237077,312693116.5895891
3557,Gujarat,2018,4,kachchh district,537116,1068486738.7583004
3558,Gujarat,2018,4,surendranagar district,169568,237579417.08447012
3559,Gujarat,2018,4,morbi district,138711,257863044.94200054
3560,Gujarat,2019,1,anand district,653012,784555584.5080343
3561,Gujarat,2019,1,jamnagar district,359824,549291108.7887383
3562,Gujarat,2019,1,devbhumi dwarka district,91088,153486918.9480818
3563,Gujarat,2019,1,rajkot district,709607,1144098817.8193035
3564,Gujarat,2019,1,aravallis district,159845,204617220.15105847
3565,Gujarat,2019,1,chhotaudepur district,45581,69194916.05947445
3566,Gujarat,2019,1,botad district,199203,155914084.97123998
3567,Gujarat,2019,1,bharuch district,926374,1330716993.7382002
3568,Gujarat,2019,1,bhavnagar district,592732,696258524.4471675
3569,Gujarat,2019,1,junagadh district,150708,216800157.42993787
3570,Gujarat,2019,1,mahesana district,899763,1021313511.4526356
3571,Gujarat,2019,1,the dangs district,19568,18627644.29669226
3572,Gujarat,2019,1,kheda district,379687,445903742.8578031
3573,Gujarat,2019,1,surat district,3283182,5664609103.880555
3574,Gujarat,2019,1,porbandar district,54684,101598902.70628664
3575,Gujarat,2019,1,gandhinagar district,1244457,1559852035.3782334
3576,Gujarat,2019,1,panch mahals district,257869,301203291.8803916
3577,Gujarat,2019,1,narmada district,58399,85405632.81124759
3578,Gujarat,2019,1,gir somnath district,138776,226079479.8894506
3579,Gujarat,2019,1,valsad district,750124,983591069.6663814
3580,Gujarat,2019,1,mahisagar district,76233,118065255.3934778
3581,Gujarat,2019,1,sabar kantha district,333162,419328099.1049222
3582,Gujarat,2019,1,tapi district,91479,133128481.20662865
3583,Gujarat,2019,1,vadodara district,1655864,2706612327.0766125
3584,Gujarat,2019,1,banas kantha district,805139,1054321489.3685758
3585,Gujarat,2019,1,amreli district,203985,276798873.9080144
3586,Gujarat,2019,1,ahmadabad district,7894660,10956007756.562977
3587,Gujarat,2019,1,dohad district,109362,194577548.24536207
3588,Gujarat,2019,1,navsari district,1112006,1853217634.4572105
3589,Gujarat,2019,1,patan district,386337,424462288.43225765
3590,Gujarat,2019,1,kachchh district,895127,1364193288.246049
3591,Gujarat,2019,1,surendranagar district,262050,311129095.2153812
3592,Gujarat,2019,1,morbi district,191564,331119429.57845145
3593,Gujarat,2019,2,anand district,484273,709119537.7817588
3594,Gujarat,2019,2,jamnagar district,316899,592164920.0962113
3595,Gujarat,2019,2,devbhumi dwarka district,78499,155560968.6583895
3596,Gujarat,2019,2,rajkot district,724751,1400871094.6495595
3597,Gujarat,2019,2,aravallis district,143867,227325626.31180274
3598,Gujarat,2019,2,chhotaudepur district,46321,84888446.62520267
3599,Gujarat,2019,2,botad district,149057,166584407.46578306
3600,Gujarat,2019,2,bharuch district,747899,1317325972.015126
3601,Gujarat,2019,2,bhavnagar district,484097,717336260.2716311
3602,Gujarat,2019,2,junagadh district,138117,240011002.85565147
3603,Gujarat,2019,2,mahesana district,715052,1095164063.6523905
3604,Gujarat,2019,2,the dangs district,19973,23073707.04186769
3605,Gujarat,2019,2,kheda district,320063,457968237.34213334
3606,Gujarat,2019,2,surat district,3047988,6016899815.178611
3607,Gujarat,2019,2,porbandar district,53378,115280306.6010556
3608,Gujarat,2019,2,gandhinagar district,1205404,1791763499.6818066
3609,Gujarat,2019,2,panch mahals district,208444,316294392.79472125
3610,Gujarat,2019,2,narmada district,52784,88669390.67203797
3611,Gujarat,2019,2,gir somnath district,129149,241920660.5921904
3612,Gujarat,2019,2,valsad district,623926,1022853264.5995276
3613,Gujarat,2019,2,mahisagar district,75377,141056088.12591818
3614,Gujarat,2019,2,sabar kantha district,282442,470262635.302694
3615,Gujarat,2019,2,tapi district,91641,143551067.8237598
3616,Gujarat,2019,2,vadodara district,1717964,3251133813.8582134
3617,Gujarat,2019,2,banas kantha district,642084,1108185173.7200396
3618,Gujarat,2019,2,amreli district,174714,282379858.4829684
3619,Gujarat,2019,2,ahmadabad district,11689965,19024891336.636116
3620,Gujarat,2019,2,dohad district,100236,209828791.75933334
3621,Gujarat,2019,2,navsari district,3136644,5394071895.487188
3622,Gujarat,2019,2,patan district,306486,445014674.0740333
3623,Gujarat,2019,2,kachchh district,688449,1389719506.4029193
3624,Gujarat,2019,2,surendranagar district,215183,342155248.99469405
3625,Gujarat,2019,2,morbi district,170716,337289553.7122574
3626,Gujarat,2019,3,anand district,955946,948614191.2624347
3627,Gujarat,2019,3,jamnagar district,418571,678420908.0813576
3628,Gujarat,2019,3,devbhumi dwarka district,109620,187719710.83933586
3629,Gujarat,2019,3,rajkot district,1022919,1587889777.799852
3630,Gujarat,2019,3,aravallis district,210189,262414303.98607105
3631,Gujarat,2019,3,chhotaudepur district,61668,92575348.45446932
3632,Gujarat,2019,3,botad district,232943,190049304.40128577
3633,Gujarat,2019,3,bharuch district,1040617,1624510953.9967766
3634,Gujarat,2019,3,bhavnagar district,724401,857318691.0133656
3635,Gujarat,2019,3,junagadh district,200701,276244464.0126623
3636,Gujarat,2019,3,mahesana district,1012086,1334187013.0348892
3637,Gujarat,2019,3,the dangs district,26638,28637120.169418044
3638,Gujarat,2019,3,kheda district,571200,600186021.9814049
3639,Gujarat,2019,3,surat district,4447301,7371726681.306206
3640,Gujarat,2019,3,porbandar district,70391,131391520.3156455
3641,Gujarat,2019,3,gandhinagar district,1850642,2359920414.1180134
3642,Gujarat,2019,3,panch mahals district,265741,372599835.77697986
3643,Gujarat,2019,3,narmada district,73335,108815184.7037895
3644,Gujarat,2019,3,gir somnath district,169575,268990041.70831114
3645,Gujarat,2019,3,valsad district,823075,1217502133.5696769
3646,Gujarat,2019,3,mahisagar district,92788,147734027.57601643
3647,Gujarat,2019,3,sabar kantha district,422296,565151924.857582
3648,Gujarat,2019,3,tapi district,124784,453273908.54554343
3649,Gujarat,2019,3,vadodara district,2407408,3950547763.5697803
3650,Gujarat,2019,3,banas kantha district,909575,1343558301.6357625
3651,Gujarat,2019,3,amreli district,244914,317090850.83197737
3652,Gujarat,2019,3,ahmadabad district,14605589,23081622347.556786
3653,Gujarat,2019,3,dohad district,144438,238896149.70514202
3654,Gujarat,2019,3,navsari district,3007618,5936350631.711407
3655,Gujarat,2019,3,patan district,596754,531383276.76570946
3656,Gujarat,2019,3,kachchh district,861897,1601375840.5830657
3657,Gujarat,2019,3,surendranagar district,287712,397315411.7410712
3658,Gujarat,2019,3,morbi district,235317,398680908.6562626
3659,Gujarat,2019,4,anand district,903182,1236581489.6519775
3660,Gujarat,2019,4,jamnagar district,519408,886972036.7121593
3661,Gujarat,2019,4,devbhumi dwarka district,133193,260447399.14664584
3662,Gujarat,2019,4,rajkot district,1134928,2127782298.9078345
3663,Gujarat,2019,4,aravallis district,265103,392592973.64206874
3664,Gujarat,2019,4,chhotaudepur district,81724,134517377.84686953
3665,Gujarat,2019,4,botad district,243788,283393816.3452396
3666,Gujarat,2019,4,bharuch district,1324720,2217755667.5707374
3667,Gujarat,2019,4,bhavnagar district,840951,1243923188.7559557
3668,Gujarat,2019,4,junagadh district,250823,403818838.9044242
3669,Gujarat,2019,4,mahesana district,1166283,1805374816.0740204
3670,Gujarat,2019,4,the dangs district,32377,41820330.86439365
3671,Gujarat,2019,4,kheda district,549665,786099096.2562544
3672,Gujarat,2019,4,surat district,4988183,9432189653.21497
3673,Gujarat,2019,4,porbandar district,84880,176788698.8012622
3674,Gujarat,2019,4,gandhinagar district,2081714,2917516449.8289948
3675,Gujarat,2019,4,panch mahals district,350408,502433000.8460094
3676,Gujarat,2019,4,narmada district,100155,166344819.91780126
3677,Gujarat,2019,4,gir somnath district,228665,413778689.95447534
3678,Gujarat,2019,4,valsad district,1028011,1666399666.2330923
3679,Gujarat,2019,4,mahisagar district,125155,213139955.09822798
3680,Gujarat,2019,4,sabar kantha district,538864,825447358.0033605
3681,Gujarat,2019,4,tapi district,163136,246612300.12495482
3682,Gujarat,2019,4,vadodara district,2908059,5087285259.821402
3683,Gujarat,2019,4,banas kantha district,1087381,1918665318.491047
3684,Gujarat,2019,4,amreli district,310698,508142052.510342
3685,Gujarat,2019,4,ahmadabad district,15696056,29657904578.49414
3686,Gujarat,2019,4,dohad district,187238,342066810.7207962
3687,Gujarat,2019,4,navsari district,2986534,6831783124.753632
3688,Gujarat,2019,4,patan district,541423,738645250.6057601
3689,Gujarat,2019,4,kachchh district,1023587,2070890492.2085972
3690,Gujarat,2019,4,surendranagar district,363831,570428007.4862839
3691,Gujarat,2019,4,morbi district,307509,583121237.1199065
3692,Gujarat,2020,1,anand district,1002410,1492005921.358044
3693,Gujarat,2020,1,jamnagar district,535915,888291211.3069444
3694,Gujarat,2020,1,devbhumi dwarka district,163208,298422205.49491847
3695,Gujarat,2020,1,rajkot district,1339770,2664972202.0377035
3696,Gujarat,2020,1,aravallis district,346292,547983260.2568257
3697,Gujarat,2020,1,chhotaudepur district,105994,169035450.37507114
3698,Gujarat,2020,1,botad district,237947,320202835.47257966
3699,Gujarat,2020,1,bharuch district,1525995,2487359207.974853
3700,Gujarat,2020,1,bhavnagar district,922982,1568995164.3641589
3701,Gujarat,2020,1,junagadh district,285216,460302222.98997164
3702,Gujarat,2020,1,mahesana district,1294012,2067093335.3061204
3703,Gujarat,2020,1,the dangs district,40179,49248105.103593506
3704,Gujarat,2020,1,kheda district,639593,955217779.7992296
3705,Gujarat,2020,1,surat district,6801887,13770083573.568459
3706,Gujarat,2020,1,porbandar district,100021,201808374.9385136
3707,Gujarat,2020,1,gandhinagar district,2337267,3378567424.980505
3708,Gujarat,2020,1,panch mahals district,448015,704353748.9369581
3709,Gujarat,2020,1,narmada district,125838,192670611.26835415
3710,Gujarat,2020,1,gir somnath district,270678,492504287.9957706
3711,Gujarat,2020,1,valsad district,1342508,2197272850.2289653
3712,Gujarat,2020,1,mahisagar district,154457,257181105.77228773
3713,Gujarat,2020,1,sabar kantha district,641078,998959107.0451574
3714,Gujarat,2020,1,tapi district,204716,303751079.8885932
3715,Gujarat,2020,1,vadodara district,3398524,5791008308.342354
3716,Gujarat,2020,1,banas kantha district,1429235,2718891067.533261
3717,Gujarat,2020,1,amreli district,327785,539247006.6461108
3718,Gujarat,2020,1,ahmadabad district,17950876,35559467147.63747
3719,Gujarat,2020,1,dohad district,238828,449704484.81976056
3720,Gujarat,2020,1,navsari district,434441,632587167.9854003
3721,Gujarat,2020,1,patan district,594745,871002993.2617927
3722,Gujarat,2020,1,kachchh district,1305996,2617080218.9794
3723,Gujarat,2020,1,surendranagar district,421057,680689639.4884843
3724,Gujarat,2020,1,morbi district,358952,669117520.7466867
3725,Gujarat,2020,2,anand district,903716,1293524620.6371698
3726,Gujarat,2020,2,jamnagar district,598458,945318108.7687567
3727,Gujarat,2020,2,devbhumi dwarka district,214944,320029310.6632272
3728,Gujarat,2020,2,rajkot district,1360781,2344811087.112481
3729,Gujarat,2020,2,aravallis district,482363,680449750.2216419
3730,Gujarat,2020,2,chhotaudepur district,174739,212139861.26010585
3731,Gujarat,2020,2,botad district,378175,471813971.54553103
3732,Gujarat,2020,2,bharuch district,1673375,2438983130.5949507
3733,Gujarat,2020,2,bhavnagar district,1215195,1886223855.2019415
3734,Gujarat,2020,2,junagadh district,407623,572516201.7822087
3735,Gujarat,2020,2,mahesana district,1592579,2300168470.716814
3736,Gujarat,2020,2,the dangs district,62526,62273325.90559709
3737,Gujarat,2020,2,kheda district,784245,1018713290.4668504
3738,Gujarat,2020,2,surat district,5654552,9378177062.809792
3739,Gujarat,2020,2,porbandar district,134329,226224267.28940976
3740,Gujarat,2020,2,gandhinagar district,2039285,2913004123.5804567
3741,Gujarat,2020,2,panch mahals district,530453,752539616.4419664
3742,Gujarat,2020,2,narmada district,181581,226204689.1999839
3743,Gujarat,2020,2,gir somnath district,439795,683771357.3293531
3744,Gujarat,2020,2,valsad district,1498222,2040840946.3210487
3745,Gujarat,2020,2,mahisagar district,257444,374445950.708864
3746,Gujarat,2020,2,sabar kantha district,816984,1232845328.7457933
3747,Gujarat,2020,2,tapi district,294426,365909712.10364485
3748,Gujarat,2020,2,vadodara district,2796615,4621695376.570124
3749,Gujarat,2020,2,banas kantha district,1860625,3107051803.537753
3750,Gujarat,2020,2,amreli district,554744,809297901.4588158
3751,Gujarat,2020,2,ahmadabad district,16430916,32731896547.150333
3752,Gujarat,2020,2,dohad district,380381,634462423.0372827
3753,Gujarat,2020,2,navsari district,547410,658697480.6239362
3754,Gujarat,2020,2,patan district,759561,1054601004.9152005
3755,Gujarat,2020,2,kachchh district,1428844,2663558233.3213134
3756,Gujarat,2020,2,surendranagar district,590754,802465025.0907189
3757,Gujarat,2020,2,morbi district,374545,563192524.3777897
3758,Gujarat,2020,3,anand district,1069251,1753944278.7492592
3759,Gujarat,2020,3,jamnagar district,648790,1254572556.7632065
3760,Gujarat,2020,3,devbhumi dwarka district,211259,383470640.91771644
3761,Gujarat,2020,3,rajkot district,1490309,2995153084.6346493
3762,Gujarat,2020,3,aravallis district,482916,829207912.975971
3763,Gujarat,2020,3,chhotaudepur district,164691,257637246.1237919
3764,Gujarat,2020,3,botad district,340537,531013247.42391574
3765,Gujarat,2020,3,bharuch district,2145954,3492190237.8492537
3766,Gujarat,2020,3,bhavnagar district,1245647,2274620368.6960626
3767,Gujarat,2020,3,junagadh district,424025,798846723.6356487
3768,Gujarat,2020,3,mahesana district,1898909,3469191791.4686623
3769,Gujarat,2020,3,the dangs district,61483,71541218.6802228
3770,Gujarat,2020,3,kheda district,852224,1355999687.4186165
3771,Gujarat,2020,3,surat district,7272097,14667802723.390911
3772,Gujarat,2020,3,porbandar district,140684,291516188.3579706
3773,Gujarat,2020,3,gandhinagar district,2828558,4509986129.973013
3774,Gujarat,2020,3,panch mahals district,625835,1108852900.8189397
3775,Gujarat,2020,3,narmada district,188013,281090742.71599275
3776,Gujarat,2020,3,gir somnath district,456851,926514793.7373261
3777,Gujarat,2020,3,valsad district,1743270,2801506603.4157205
3778,Gujarat,2020,3,mahisagar district,223755,410598224.914323
3779,Gujarat,2020,3,sabar kantha district,978647,1639580053.3462
3780,Gujarat,2020,3,tapi district,386709,640774933.3223717
3781,Gujarat,2020,3,vadodara district,4247473,7377577452.229219
3782,Gujarat,2020,3,banas kantha district,2102221,4347810483.865207
3783,Gujarat,2020,3,amreli district,505391,878846985.3990886
3784,Gujarat,2020,3,ahmadabad district,21769867,43364229618.72334
3785,Gujarat,2020,3,dohad district,387675,774665435.029488
3786,Gujarat,2020,3,navsari district,669646,1042130557.8815172
3787,Gujarat,2020,3,patan district,833224,1469939692.0924706
3788,Gujarat,2020,3,kachchh district,1762816,3715321888.0775957
3789,Gujarat,2020,3,surendranagar district,612549,1053748004.4105902
3790,Gujarat,2020,3,morbi district,518903,1151870077.6734865
3791,Gujarat,2020,4,anand district,1486151,2488003643.70551
3792,Gujarat,2020,4,jamnagar district,852972,1746204267.5136547
3793,Gujarat,2020,4,devbhumi dwarka district,272466,564767075.0324345
3794,Gujarat,2020,4,rajkot district,1980653,4184580562.7370863
3795,Gujarat,2020,4,aravallis district,650966,1195080848.8393457
3796,Gujarat,2020,4,chhotaudepur district,231699,385900402.57755136
3797,Gujarat,2020,4,botad district,358762,637855285.7494726
3798,Gujarat,2020,4,bharuch district,3243841,5265465828.675046
3799,Gujarat,2020,4,bhavnagar district,1454824,2860946801.5974355
3800,Gujarat,2020,4,junagadh district,528638,1081544206.1069198
3801,Gujarat,2020,4,mahesana district,2473227,4748375062.213286
3802,Gujarat,2020,4,the dangs district,89994,115392051.59941344
3803,Gujarat,2020,4,kheda district,1146567,1924149444.9194136
3804,Gujarat,2020,4,surat district,10950779,22483338828.296677
3805,Gujarat,2020,4,porbandar district,185255,409734586.01614106
3806,Gujarat,2020,4,gandhinagar district,3802536,6260558379.008726
3807,Gujarat,2020,4,panch mahals district,861616,1522649649.0425
3808,Gujarat,2020,4,narmada district,274158,401617563.13397676
3809,Gujarat,2020,4,gir somnath district,537782,1181991458.5126772
3810,Gujarat,2020,4,valsad district,2565319,4183435576.3542786
3811,Gujarat,2020,4,mahisagar district,302767,570736679.6244228
3812,Gujarat,2020,4,sabar kantha district,1339032,2451572619.1990595
3813,Gujarat,2020,4,tapi district,520631,841884252.7849832
3814,Gujarat,2020,4,vadodara district,6066452,10175864216.096031
3815,Gujarat,2020,4,banas kantha district,2687464,5676878891.729177
3816,Gujarat,2020,4,amreli district,564757,1075380722.1837554
3817,Gujarat,2020,4,ahmadabad district,25926518,50995692377.18629
3818,Gujarat,2020,4,dohad district,522944,1028322590.3102307
3819,Gujarat,2020,4,navsari district,906395,1460927906.600296
3820,Gujarat,2020,4,patan district,1121201,2091010409.7872968
3821,Gujarat,2020,4,kachchh district,2405892,5163742799.021423
3822,Gujarat,2020,4,surendranagar district,802707,1519077043.8578877
3823,Gujarat,2020,4,morbi district,713582,1700378082.426631
3824,Gujarat,2021,1,anand district,1585982,2723181548.9945545
3825,Gujarat,2021,1,jamnagar district,899501,1894971999.4394412
3826,Gujarat,2021,1,devbhumi dwarka district,263772,630081190.7413921
3827,Gujarat,2021,1,rajkot district,2278417,5057583315.413301
3828,Gujarat,2021,1,aravallis district,655695,1314732516.1866503
3829,Gujarat,2021,1,chhotaudepur district,225606,452389275.3974223
3830,Gujarat,2021,1,botad district,367267,798953588.0229607
3831,Gujarat,2021,1,bharuch district,3420929,5756013890.9055805
3832,Gujarat,2021,1,bhavnagar district,1446583,3264511506.595693
3833,Gujarat,2021,1,junagadh district,543809,1204237180.1488335
3834,Gujarat,2021,1,mahesana district,2587041,5454846785.509393
3835,Gujarat,2021,1,the dangs district,83737,130412216.08515008
3836,Gujarat,2021,1,kheda district,1165033,2180336937.401629
3837,Gujarat,2021,1,surat district,13429789,28261722802.552788
3838,Gujarat,2021,1,porbandar district,184436,466162975.4066367
3839,Gujarat,2021,1,gandhinagar district,4275528,7290530767.260056
3840,Gujarat,2021,1,panch mahals district,976434,1849730326.470284
3841,Gujarat,2021,1,narmada district,268489,479844444.1932763
3842,Gujarat,2021,1,gir somnath district,575287,1368653768.466436
3843,Gujarat,2021,1,valsad district,2745663,4775335083.735588
3844,Gujarat,2021,1,mahisagar district,280340,582703615.8071253
3845,Gujarat,2021,1,sabar kantha district,1357102,2620770589.4913707
3846,Gujarat,2021,1,tapi district,612570,1114541037.7686372
3847,Gujarat,2021,1,vadodara district,7191021,11925964623.063154
3848,Gujarat,2021,1,banas kantha district,2927080,6883945517.865922
3849,Gujarat,2021,1,amreli district,513706,1123115019.4190373
3850,Gujarat,2021,1,ahmadabad district,36857358,68688129153.575096
3851,Gujarat,2021,1,dohad district,548628,1226581747.5402272
3852,Gujarat,2021,1,navsari district,1022239,1773256368.3156428
3853,Gujarat,2021,1,patan district,1165681,2425828408.868511
3854,Gujarat,2021,1,kachchh district,2664604,6036765372.934219
3855,Gujarat,2021,1,surendranagar district,806962,1725777306.55805
3856,Gujarat,2021,1,morbi district,848276,2219169833.3171697
3857,Gujarat,2021,2,anand district,1711394,3014631897.6682367
3858,Gujarat,2021,2,jamnagar district,1155054,2206347098.925128
3859,Gujarat,2021,2,devbhumi dwarka district,333279,738788439.0915308
3860,Gujarat,2021,2,rajkot district,2675842,5707346831.237131
3861,Gujarat,2021,2,aravallis district,847681,1683647671.7291918
3862,Gujarat,2021,2,chhotaudepur district,275873,540185404.7441366
3863,Gujarat,2021,2,botad district,550313,1280565807.277298
3864,Gujarat,2021,2,bharuch district,3937665,6464930552.559841
3865,Gujarat,2021,2,bhavnagar district,1660432,3448497365.237627
3866,Gujarat,2021,2,junagadh district,700286,1487953525.5343559
3867,Gujarat,2021,2,mahesana district,3118685,6292779692.204142
3868,Gujarat,2021,2,the dangs district,105158,157878766.4304675
3869,Gujarat,2021,2,kheda district,1362561,2503386769.0668764
3870,Gujarat,2021,2,surat district,15230233,30756115155.739143
